consumer,origin,input,input_group,product,input_category,cropland_m2,blue_water_m3,ghg_kg,biodiv,n_application_kg,p_application_kg
EU-27,LAM,Buffaloes,Live animals,Wearing apparel; furs (18),animal-based,0,2.2869233391259e-06,0,0,0,0
EU-27,AFR,Peas,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.000190409377752433,1.29860875352501e-06,1.28863587607766e-07,2.80344328566604e-16,1.67537985157077e-08,1.0444865620471e-08
EU-27,LAM,Abaca,Fibre crops,Wearing apparel; furs (18),fibre crops,0.00635167068228653,0.000756845920885426,6.29215942452552e-06,1.20312475300796e-13,0,0
EU-27,EU,Sesameseed Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,3.69119204848877e-10,0,0,0
EU-27,ASI,Olives (including preserved),Oil crops,Wearing apparel; furs (18),other crops,0.0154577453888169,0.00217549777882639,5.0970320222306e-07,1.65025039741224e-14,7.27862415419451e-05,1.47025754485461e-05
EU-27,ASI,Olive Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,2.28400534054463e-07,0,0,0
EU-27,AFR,Nuts and products,"Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.00903105371538012,0.000664532031433281,9.85536720174489e-07,4.1717118799283e-15,1.5177328082827e-05,9.408280962921e-08
EU-27,AFR,"Fruits, Other","Vegetables, fruit, nuts, pulses, spices",Wearing apparel; furs (18),other crops,0.000319006179860208,0.000127426510758875,4.05346139680159e-08,1.27510696493862e-15,2.53477680059197e-06,3.2161995442247e-07
EU-27,AFR,Soyabean Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,2.05011821555558e-08,0,0,0
EU-27,EU,Groundnut Oil,Vegetable oils,Wearing apparel; furs (18),other crops,0,0,7.15798696932233e-12,0,0,0
EU-27,EU,Groundnut Cake,Oil cakes,Wearing apparel; furs (18),other crops,0,0,1.89355129917868e-09,0,0,0
EU-27,EU,"Butter, Ghee",Milk,Wearing apparel; furs (18),animal-based,0,0,1.17139187968449e-08,0,0,0
