consumer,origin,input,input_group,product,input_category,cropland_km2,blue_water_km3,ghg_Gt,biodiv,n_application_Tg,p_application_Tg
EU-27,ASI,Poultry Birds,Live animals,Textiles (17),animal-based,0,3.61139055550837e-05,1.96838288137351e-06,0,0,0
EU-27,ASI,Camels,Live animals,Textiles (17),animal-based,0,4.07052323092938e-07,1.09780248610469e-07,0,0,0
EU-27,ASI,Eggs,Eggs,Textiles (17),animal-based,0,0,0,0,0,0
EU-27,ASI,"Meat, Other",Meat,Textiles (17),animal-based,0,1.32112420223695e-10,0,0,0,0
EU-27,ASI,Silk,"Hides, skins, wool",Textiles (17),animal-based,0,0,1.81901542801969e-06,0,0,0
EU-27,EUR,Wheat and products,Cereals,Textiles (17),other crops,5.39533483544164e-05,0.00111493750664726,9.68024840107511e-06,6.69764022007482e-05,0.000267134821293396,4.52660541574414e-05
EU-27,EUR,Barley and products,Cereals,Textiles (17),other crops,2.31015874003804e-05,0.000107817489852285,2.75714803087195e-06,3.80893053859347e-05,9.30755298330957e-05,2.08937032157781e-05
EU-27,EUR,Maize and products,Cereals,Textiles (17),other crops,5.30259060093323e-05,0.00400145540436785,7.83299766020535e-06,3.21701353172824e-05,0.000242843755866833,2.14121135913076e-05
EU-27,EUR,Oats,Cereals,Textiles (17),other crops,6.57697433261288e-07,1.66063225438578e-05,1.26674722453402e-07,8.86963210431264e-07,3.51715368175943e-06,5.4966108849697e-07
EU-27,EUR,Potatoes and products,Roots and tubers,Textiles (17),other crops,7.91988146842371e-06,6.27485316197945e-05,1.41780446695884e-06,1.55700869922499e-06,2.20454876766529e-05,2.65962894745427e-06
EU-27,EUR,Beans,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,5.72049722010205e-08,1.10078691520372e-06,1.62964495846273e-08,5.65389978065394e-08,9.17826636152203e-08,3.14180520076799e-08
EU-27,EUR,"Pulses, Other and products","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,4.0724048638916e-07,1.0357891105315e-05,2.26182198909519e-08,8.45972855771406e-07,1.01863572480223e-06,2.98053534886364e-07
EU-27,EUR,Soyabeans,Oil crops,Textiles (17),other crops,1.5176656001216e-05,4.42053141743511e-08,1.25819290913627e-06,3.37416434664142e-06,1.47990740845527e-05,3.3097681588346e-06
EU-27,EUR,Sunflower seed,Oil crops,Textiles (17),other crops,6.9652197254253e-05,0.00052264695490894,4.62339360400083e-06,1.97804442407259e-05,0.000129452592361249,1.12262354311719e-05
EU-27,EUR,Seed cotton,Oil crops,Textiles (17),other crops,0.000166294104181373,0.190558750644201,2.6102381127866e-05,0.000364737171124692,0.00234674857672669,0.000276117648001245
EU-27,EUR,Olives (including preserved),Oil crops,Textiles (17),other crops,2.487853558959e-06,0.000101291762945078,4.07693113323088e-07,6.78818033410257e-06,1.1270464978445e-05,1.57244912796111e-06
EU-27,EUR,Tomatoes and products,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,3.08759034348787e-13,1.26224073805128e-10,2.36925952286461e-13,6.41394301062562e-13,2.99977856858026e-12,6.13632785458593e-13
EU-27,EUR,"Vegetables, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,5.22493580959128e-07,6.80424107458793e-05,1.71036277310768e-07,9.45725725617965e-07,4.48381477984637e-06,8.96882439823541e-07
EU-27,EUR,Apples and products,"Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,8.644155110499e-07,2.87851292031965e-05,9.45103753815549e-08,8.55497822308821e-08,1.53087485218504e-06,6.20997694489321e-08
EU-27,EUR,"Fruits, Other","Vegetables, fruit, nuts, pulses, spices",Textiles (17),other crops,1.64205426326829e-07,6.48148361558466e-06,1.66633465941193e-08,5.28193170719194e-08,2.6780384229107e-07,3.53089760914184e-08
